Rainfall_MM;Year;Statistics;Country;ISO3
71.4572;1911;Mar Average;Belgium;BEL
37.8991;1911;Apr Average;Belgium;BEL
42.2667;1911;May Average;Belgium;BEL
77.966;1911;Jun Average;Belgium;BEL
22.1371;1911;Jul Average;Belgium;BEL
19.3106;1911;Aug Average;Belgium;BEL
54.1859;1911;Sep Average;Belgium;BEL
92.0138;1911;Oct Average;Belgium;BEL
89.1621;1911;Nov Average;Belgium;BEL
104.736;1911;Dec Average;Belgium;BEL
65.5377;1912;Jan Average;Belgium;BEL
52.2208;1912;Feb Average;Belgium;BEL
92.0017;1912;Mar Average;Belgium;BEL
21.5622;1912;Apr Average;Belgium;BEL
43.1146;1912;May Average;Belgium;BEL
78.0151;1912;Jun Average;Belgium;BEL
51.006;1912;Jul Average;Belgium;BEL
147.322;1912;Aug Average;Belgium;BEL
82.1487;1912;Sep Average;Belgium;BEL
86.9256;1912;Oct Average;Belgium;BEL
84.4758;1912;Nov Average;Belgium;BEL
74.0742;1912;Dec Average;Belgium;BEL
87.1739;1913;Jan Average;Belgium;BEL
29.7952;1913;Feb Average;Belgium;BEL
71.8881;1913;Mar Average;Belgium;BEL
58.9982;1913;Apr Average;Belgium;BEL
78.8173;1913;May Average;Belgium;BEL
82.7948;1913;Jun Average;Belgium;BEL
84.5069;1913;Jul Average;Belgium;BEL
40.7571;1913;Aug Average;Belgium;BEL
61.3218;1913;Sep Average;Belgium;BEL
57.9758;1913;Oct Average;Belgium;BEL
79.1615;1913;Nov Average;Belgium;BEL
71.6292;1913;Dec Average;Belgium;BEL
73.2317;1914;Jan Average;Belgium;BEL
49.4045;1914;Feb Average;Belgium;BEL
138.052;1914;Mar Average;Belgium;BEL
46.7821;1914;Apr Average;Belgium;BEL
62.3894;1914;May Average;Belgium;BEL
81.3468;1914;Jun Average;Belgium;BEL
74.0646;1914;Jul Average;Belgium;BEL
67.6634;1914;Aug Average;Belgium;BEL
81.8466;1914;Sep Average;Belgium;BEL
38.5964;1914;Oct Average;Belgium;BEL
56.8459;1914;Nov Average;Belgium;BEL
108.063;1914;Dec Average;Belgium;BEL
118.537;1915;Jan Average;Belgium;BEL
64.9018;1915;Feb Average;Belgium;BEL
42.237;1915;Mar Average;Belgium;BEL
57.6853;1915;Apr Average;Belgium;BEL
53.6992;1915;May Average;Belgium;BEL
48.4735;1915;Jun Average;Belgium;BEL
89.7717;1915;Jul Average;Belgium;BEL
100.961;1915;Aug Average;Belgium;BEL
55.7399;1915;Sep Average;Belgium;BEL
31.0499;1915;Oct Average;Belgium;BEL
93.9489;1915;Nov Average;Belgium;BEL
170.323;1915;Dec Average;Belgium;BEL
68.2779;1916;Jan Average;Belgium;BEL
87.0752;1916;Feb Average;Belgium;BEL
62.6858;1916;Mar Average;Belgium;BEL
82.1108;1916;Apr Average;Belgium;BEL
68.6309;1916;May Average;Belgium;BEL
101.789;1916;Jun Average;Belgium;BEL
57.8956;1916;Jul Average;Belgium;BEL
88.5252;1916;Aug Average;Belgium;BEL
68.5781;1916;Sep Average;Belgium;BEL
96.0963;1916;Oct Average;Belgium;BEL
59.3024;1916;Nov Average;Belgium;BEL
121.414;1916;Dec Average;Belgium;BEL
63.4095;1917;Jan Average;Belgium;BEL
16.3506;1917;Feb Average;Belgium;BEL
64.5768;1917;Mar Average;Belgium;BEL
62.6439;1917;Apr Average;Belgium;BEL
51.8246;1917;May Average;Belgium;BEL
